,Layer,Amp,FreQ,e,h,Optimal
0,4,6.0,2.0,12.2,0.9,1
1,5,6.0,1.5,12.6,2.0,1
2,6,6.0,1.0,14.1,1.7,0
4,8,5.0,2.0,13.6,1.3,0
5,9,5.0,1.6,11.8,1.6,0
6,10,5.0,1.2,11.8,1.3,0
7,4,6.0,1.2,12.9,0.4,0
8,5,6.0,1.4,13.0,2.0,0
9,6,6.0,1.6,13.0,1.6,0
10,7,6.0,1.8,13.0,2.1,0
11,8,5.0,1.2,13.0,1.3,0
12,9,5.0,1.4,12.9,0.9,0
13,10,5.0,1.6,12.8,1.4,0
14,11,5.0,1.8,12.9,2.5,0
15,12,5.0,2.0,11.9,1.0,0
16,4,5.0,2.0,10.5,1.2,1
17,5,5.0,1.7,10.9,2.0,1
18,6,5.0,1.4,11.4,0.8,0
19,7,4.0,1.4,10.7,2.4,0
20,8,4.0,1.7,11.0,1.4,1
21,9,4.0,2.0,8.0,1.2,1
22,4,6.0,2.0,12.0,0.9,1
23,5,6.0,2.3,11.9,2.1,0
28,4,3.5,2.0,7.8,1.9,1
29,5,3.5,1.8,7.4,3.6,1
30,6,3.5,1.6,7.5,2.4,1
31,7,2.5,1.6,5.8,1.5,0
32,8,2.5,1.8,5.5,2.5,0
33,9,2.5,2.0,5.4,2.0,0
34,4,6.5,1.6,13.2,1.0,0
35,5,6.5,1.8,13.7,2.0,0
36,6,6.5,2.0,13.4,0.9,0
37,4,5.5,2.2,11.2,1.5,1
38,5,4.5,2.2,10.4,2.2,0
40,7,3.5,2.2,7.7,2.2,1
43,4,5.0,1.5,11.0,1.7,1
44,5,4.8,1.6,11.1,1.8,1
45,6,3.6,1.5,9.5,2.1,1
46,4,5.5,1.8,11.4,1.5,1
47,5,5.5,1.8,11.9,1.8,1
48,6,5.5,1.8,12.1,1.4,1
49,7,5.5,1.8,12.3,1.9,0
50,8,5.5,1.8,12.4,1.5,0
51,9,5.5,1.8,12.4,1.4,0
52,4,4.8,1.9,10.4,1.9,1
53,5,4.5,1.8,10.3,1.2,1
54,6,4.5,1.8,10.4,1.9,0
55,7,4.5,1.8,10.3,1.5,0
56,8,4.5,1.8,10.2,2.0,0
57,4,5.5,1.8,,,1
58,5,5.5,1.8,,,1
59,6,5.5,1.8,,,0
60,4,4.5,1.8,,,1
61,5,4.5,1.8,,,1
62,6,4.5,1.8,,,1
63,7,4.5,1.8,,,0
64,8,4.5,1.8,,,0
65,9,4.5,1.8,,,0
66,4,4.9,1.8,,,1
67,5,4.9,1.8,,,1
68,6,4.9,1.8,,,0
69,7,4.9,1.8,,,0
70,4,5.4,1.7,,,1
71,5,5.4,1.7,,,1
72,6,5.4,1.7,,,0
73,7,5.4,1.7,,,0
